 &plot nbnd=  38, nks=  1401 /
    5.340    5.340    5.817    5.817    6.540    6.540    6.592    6.592    9.813    9.813
   10.978   10.978   11.014   11.014   12.904   12.904   15.690   15.690
            0.000000  0.033146  0.000000
 -108.152 -108.152  -70.141  -70.141  -51.869  -51.869  -51.869  -51.869   -5.164   -5.164
   -1.478   -1.478   -1.472   -1.472   -0.047   -0.047    0.364    0.364    0.374    0.374
    5.330    5.330    5.821    5.821    6.537    6.537    6.597    6.597    9.814    9.814
   10.975   10.975   11.017   11.017   12.911   12.911   15.669   15.669
            0.000000  0.035355  0.000000
 -108.152 -108.152  -70.141  -70.141  -51.869  -51.869  -51.869  -51.869   -5.163   -5.163
   -1.478   -1.478   -1.472   -1.472   -0.046   -0.046    0.364    0.364    0.374    0.374
    5.320    5.320    5.824    5.824    6.535    6.535    6.603    6.603    9.815    9.815
   10.972   10.972   11.019   11.019   12.919   12.919   15.647   15.647
            0.000000  0.037565  0.000000
 -108.152 -108.152  -70.141  -70.141  -51.869  -51.869  -51.869  -51.869   -5.163   -5.163
   -1.478   -1.478   -1.472   -1.472   -0.046   -0.046    0.363    0.363    0.374    0.374
    5.309    5.309    5.827    5.827    6.532    6.532    6.608    6.608    9.817    9.817
   10.969   10.969   11.022   11.022   12.927   12.927   15.625   15.625
            0.000000  0.039775  0.000000
 -108.152 -108.152  -70.141  -70.141  -51.869  -51.869  -51.869  -51.869   -5.162   -5.162
   -1.478   -1.478   -1.472   -1.472   -0.046   -0.046    0.363    0.363    0.375    0.375
    5.298    5.298    5.830    5.830    6.529    6.529    6.614    6.614    9.818    9.818
   10.966   10.966   11.025   11.025   12.935   12.935   15.603   15.603
            0.000000  0.041984  0.000000
 -108.152 -108.152  -70.141  -70.141  -51.869  -51.869  -51.869  -51.869   -5.162   -5.162
   -1.478   -1.478   -1.471   -1.471   -0.046   -0.046    0.363    0.363    0.375    0.375
    5.286    5.286    5.833    5.833    6.526    6.526    6.621    6.621    9.820    9.820
   10.963   10.963   11.028   11.028   12.944   12.944   15.581   15.581
            0.000000  0.044194  0.000000
 -108.152 -108.152  -70.141  -70.141  -51.869  -51.869  -51.869  -51.869   -5.161   -5.161
   -1.478   -1.478   -1.471   -1.471   -0.046   -0.046    0.362    0.362    0.375    0.375
    5.274    5.274    5.836    5.836    6.522    6.522    6.627    6.627    9.821    9.821
   10.959   10.959   11.031   11.031   12.953   12.953   15.558   15.558
            0.000000  0.046404  0.000000
 -108.152 -108.152  -70.141  -70.141  -51.869  -51.869  -51.869  -51.869   -5.161   -5.161
   -1.478   -1.478   -1.471   -1.471   -0.046   -0.046    0.362    0.362    0.376    0.376
    5.262    5.262    5.839    5.839    6.519    6.519    6.634    6.634    9.823    9.823
   10.956   10.956   11.034   11.034   12.963   12.963   15.536   15.536
            0.000000  0.048614  0.000000
 -108.152 -108.152  -70.141  -70.141  -51.869  -51.869  -51.869  -51.869   -5.160   -5.160
   -1.478   -1.478   -1.470   -1.470   -0.045   -0.045    0.362    0.362    0.376    0.376
    5.250    5.250    5.841    5.841    6.515    6.515    6.641    6.641    9.825    9.825
   10.952   10.952   11.038   11.038   12.973   12.973   15.513   15.513
            0.000000  0.050823  0.000000
 -108.152 -108.152  -70.141  -70.141  -51.869  -51.869  -51.869  -51.869   -5.160   -5.160
   -1.478   -1.478   -1.470   -1.470   -0.045   -0.045    0.362    0.362    0.376    0.376
    5.237    5.237    5.844    5.844    6.511    6.511    6.649    6.649    9.826    9.826
   10.949   10.949   11.041   11.041   12.983   12.983   15.489   15.489
            0.000000  0.053033  0.000000
 -108.152 -108.152  -70.141  -70.141  -51.869  -51.869  -51.869  -51.869   -5.159   -5.159
   -1.478   -1.478   -1.470   -1.470   -0.045   -0.045    0.361    0.361    0.377    0.377
    5.225    5.225    5.846    5.846    6.507    6.507    6.657    6.657    9.828    9.828
   10.945   10.945   11.045   11.045   12.994   12.994   15.466   15.466
            0.000000  0.055243  0.000000
 -108.152 -108.152  -70.141  -70.141  -51.869  -51.869  -51.869  -51.869   -5.158   -5.158
   -1.478   -1.478   -1.469   -1.469   -0.045   -0.045    0.361    0.361    0.377    0.377
    5.211    5.211    5.848    5.848    6.503    6.503    6.665    6.665    9.830    9.830
   10.941   10.941   11.049   11.049   13.006   13.006   15.443   15.443
