ecutwfc_ry,ecutrho_ry,kgrid,total_energy_ry,highest_occupied_ev,lowest_unoccupied_ev,gap_ev,wall_s,ok,gap_proxy_ev
100.0,600.0,8x8x8,-346.20538552,7.4608,8.1277,,42.55858254432678,True,0.6669000000000009
110.0,660.0,8x8x8,-346.20596383,7.4608,8.1277,,44.7031774520874,True,0.6669000000000009
120.0,720.0,8x8x8,-346.20605106,7.4605,8.1273,,47.77076530456543,True,0.6668000000000003
