ecutwfc_ry,ecutrho_ry,kgrid,total_energy_ry,highest_occupied_ev,lowest_unoccupied_ev,gap_ev,wall_s,ok,gap_proxy_ev
40.0,240.0,8x8x8,-128.97286791,5.1308,5.9024,,23.273325443267822,True,0.7716000000000003
50.0,300.0,8x8x8,-128.97499765,5.1245,5.8924,,24.52827262878418,True,0.7679
60.0,360.0,8x8x8,-128.97709354,5.1245,5.8924,,36.623647928237915,True,0.7679
70.0,420.0,8x8x8,-128.97709281,5.1244,5.8916,,32.65615630149841,True,0.7672000000000008
80.0,480.0,8x8x8,-128.97729778,5.1238,5.8901,,40.25469613075256,True,0.7663000000000002
90.0,540.0,8x8x8,-128.97754698,5.124,5.8907,,60.78481698036194,True,0.7667000000000002
