ecutwfc_ry,ecutrho_ry,kgrid,total_energy_ry,highest_occupied_ev,lowest_unoccupied_ev,gap_ev,wall_s,ok,gap_proxy_ev
80.0,480.0,8x8x8,-346.20374043,7.4616,8.1286,,31.581138849258423,True,0.6670000000000007
80.0,560.0,8x8x8,-346.20343641,7.4607,8.1274,,34.88608717918396,True,0.6666999999999996
80.0,640.0,8x8x8,-346.20355597,7.4611,8.1279,,38.3441903591156,True,0.6668000000000003
80.0,720.0,8x8x8,-346.20342788,7.4607,8.1274,,34.79877018928528,True,0.6666999999999996
80.0,800.0,8x8x8,-346.20347572,7.4608,8.1276,,35.756091356277466,True,0.6667999999999994
